Obra|DataUltimaAuditoria|ValorInicialContratado|ValorAditado|DespesaPaga|ValorTotal
2460|2017-03-14T00:00:00|1020000.00|0.00|0.00|1020000.00
2461|2015-08-03T00:00:00|900000.00|0.00|0.00|900000.00
2462|2016-04-25T00:00:00|1200000.00|0.00|0.00|1200000.00
2463|2016-11-08T00:00:00|1500000.00|0.00|0.00|1500000.00
2464|2016-04-25T00:00:00|1200000.00|0.00|0.00|1200000.00
2465|2016-04-25T00:00:00|1140000.00|0.00|0.00|1140000.00
2466|2015-08-03T00:00:00|1180000.00|0.00|0.00|1180000.00
2468|2015-08-03T00:00:00|450000.00|0.00|0.00|450000.00
2469|2016-06-21T00:00:00|1500000.00|0.00|0.00|1500000.00
2470|2016-02-02T00:00:00|1200000.00|0.00|0.00|1200000.00
2473|2016-06-17T00:00:00|94548504.20|0.00|1672750.70|94548504.20
2474|2016-05-25T00:00:00|1553434.10|0.00|1196354.40|1553434.10
2475|2017-05-16T00:00:00|2889465.43|0.00|2082664.94|2889465.43
2476|2017-05-11T00:00:00|71901.27|17074.13|88975.40|88975.40
2479|2017-05-12T00:00:00|883943.65|0.00|0.00|883943.65
2480|2017-05-12T00:00:00|497942.16|0.00|363303.28|497942.16
2482|2017-05-12T00:00:00|242837.69|0.00|0.00|242837.69
2486|2017-05-12T00:00:00|117189.70|0.00|124999.83|117189.70
2487|2017-05-03T00:00:00|0.00|0.00|0.00|0.00
2488|2017-05-12T00:00:00|810409.49|0.00|543319.92|810409.49
2489|2017-04-27T00:00:00|0.00|0.00|0.00|0.00
2491|2017-05-12T00:00:00|244158.80|0.00|63443.52|244158.80
2492|2017-05-12T00:00:00|991834.28|0.00|745681.99|991834.28
2493|2017-07-11T00:00:00|753847.48|0.00|753847.48|753847.48
2494|2017-05-16T00:00:00|502235.49|0.00|346702.82|502235.49
2495|2017-05-16T00:00:00|502235.49|0.00|502235.49|502235.49
2496|2017-05-16T00:00:00|407594.11|0.00|197460.48|407594.11
2499|2017-05-16T00:00:00|407594.11|0.00|232875.53|407594.11
2502|2017-05-16T00:00:00|244244.21|0.00|158287.16|244244.21
2503|2017-05-16T00:00:00|244244.21|0.00|159827.61|244244.21
2504|2017-05-16T00:00:00|244244.21|0.00|92962.42|244244.21
2507|2017-05-16T00:00:00|309563.76|0.00|305811.63|309563.76
2509|2017-06-06T00:00:00|5055805.74|0.00|5009746.62|5055805.74
2510|2017-06-27T00:00:00|216546.76|0.00|10896.60|216546.76
2511|2017-06-27T00:00:00|151419.42|0.00|35896.96|151419.42
2512|2017-06-27T00:00:00|618980.25|0.00|453474.61|618980.25
2513|2017-06-27T00:00:00|303289.45|0.00|78871.62|303289.45
2514|2017-07-03T00:00:00|5120000.00|0.00|4329467.50|5120000.00
2515|2017-06-19T00:00:00|70560.00|47040.00|117600.00|117600.00
2516|2019-04-29T00:00:00|4789211.29|0.00|3103525.69|4789211.29
2517|2019-04-29T00:00:00|11480815.63|386935.75|10747499.28|11867751.38
2518|2017-07-07T00:00:00|4812271.16|0.00|1257574.89|4812271.16
2520|2017-07-07T00:00:00|1267950.46|0.00|253984.68|1267950.46
2521|2017-07-07T00:00:00|484514.98|0.00|248002.80|484514.98
2522|2017-07-07T00:00:00|483318.95|0.00|57261.07|483318.95
2526|2017-05-24T00:00:00|5286169.14|2310595.02|5822303.21|7596764.16
2527|2017-07-31T00:00:00|1503831.00|0.00|74590.20|1503831.00
2528|2017-07-31T00:00:00|190559.98|0.00|9998.98|190559.98
2529|2017-06-15T00:00:00|1104000.00|0.00|1008325.00|1104000.00
2530|2017-08-04T00:00:00|1798717.04|1798717.04|5414078.70|3597434.08
2531|2020-03-18T00:00:00|1386500.00|0.00|1251732.00|1386500.00
2532|2017-07-19T00:00:00|890908.00|0.00|0.00|890908.00
2533|2018-03-07T00:00:00|490019.50|0.00|0.00|490019.50
2534|2018-02-23T00:00:00|448527.63|472769.77|921297.40|921297.40
2536|2017-09-30T00:00:00|2932286.65|0.00|1819532.43|2932286.65
2537|2017-08-31T00:00:00|292767.77|0.00|256781.20|292767.77
2538|2017-08-31T00:00:00|348321.70|0.00|146266.07|348321.70
2539|2017-08-31T00:00:00|382764.32|0.00|178608.53|382764.32
2540|2019-02-28T00:00:00|81434.96|0.00|59898.14|81434.96
